Country,GDP per capita,Life satisfaction
Brazil,8669.998,6.4
Mexico,9009.28,6.5
Russia,9054.914,5.8
Turkey,9437.372,5.5
Hungary,12239.893999999998,5.6
Latvia,13618.569,5.9
Lithuania,14210.28,5.9
Slovak Republic,15991.736,6.2
Czech Republic,17256.918,6.7
Estonia,17288.083,5.7
Greece,18064.288,5.4
Portugal,19121.592,5.4
Slovenia,20732.482,5.9
Spain,25864.721,6.3
Korea,27195.197,5.9
Italy,29866.581000000002,6.0
Japan,32485.545,5.9
Israel,35343.336,7.2
New Zealand,37044.891,7.3
France,37675.006,6.5
Belgium,40106.632000000005,6.9
Germany,40996.511,7.0
Finland,41973.988,7.6
Canada,43331.960999999996,7.4
Netherlands,43603.115,7.4
Austria,43724.030999999995,7.1
United Kingdom,43770.687999999995,6.8
Sweden,49866.265999999996,7.3
Australia,50961.865,7.3
United States,55805.204000000005,6.9
Norway,74822.106,7.6
Switzerland,80675.308,7.5
Luxembourg,101994.09300000001,6.9
